SS : 0.11694058154235146 =====
(('S', ('regular', 'a')), ('S', ('attendees', 'regular')))
(('S', ('allerton', 'ballot')), ('S', ('conference', 'in')))
(('S', ('conference', 'in')), ('S', ('an', 'conference')))
(('S', ('for', 'and')), ('S', ('all', 'fall')))
(('S', ('van', 'them')), ('S', ('valkenburg', 'all')))
split + quasi-homophone	(('S', ('cruz', 'cruise')), ('S', ('co', 'coach')))
split + quasi-homophone	(('S', ('co', 'coach')), ('S', ('chaired', 'eric')))
(('S', ('the', 'that')), ('S', ('creatives', 'creates')))
(('S', ('its', "it's")), ('S', ('its', "it's")))
(('S', ('thats', "that's")), ('S', ('when', 'one')))
split + quasi-homophone	(('S', ('when', 'one')), ('S', ('the', 'that')))
(('S', ('the', 'that')), ('S', ('attendees', 'then')))
(('S', ('allerton', 'talent')), ('S', ('grounds', 'and')))
(('S', ('at', 'lack')), ('S', ('least', 'typically')))
(('S', ('days', 'base')), ('S', ('well', 'will')))
(('S', ('eh', 'that')), ('S', ('im', "i'm")))
(('S', ('the', 'that')), ('S', ('allerton', "i'm")))
(('S', ('parallel', 'pal')), ('S', ('to', 'of')))
(('S', ('control', 'controlling')), ('S', ('and', 'them')))
(('S', ('and', 'them')), ('S', ('computing', 'to')))
split + quasi-homophone	(('S', ('influenced', 'influence')), ('S', ('impacted', 'in')))
(('S', ('impacted', 'in')), ('S', ('and', 'fact')))
(('S', ('and', 'fact')), ('S', ('shaped', 'the')))
split + quasi-homophone	(('S', ('were', 'where')), ('S', ('presented', 'present')))
split + quasi-homophone	(('S', ('presented', 'present')), ('S', ('at', 'to')))
split + quasi-homophone	(('S', ('at', 'to')), ('S', ('the', 'a')))
(('S', ('the', 'a')), ('S', ('allerton', 'ballot')))
(('S', ('allerton', 'ballot')), ('S', ('conference', 'and')))
split + quasi-homophone	(('S', ('eighty', 'a')), ('S', ('four', 'tip')))
(('S', ('it', "it's")), ('S', ('comprised', 'comprise')))
(('S', ('the', 'that')), ('S', ('eh', 'and')))
(('S', ('eh', 'and')), ('S', ('today', 'they')))
(('S', ('even', 'one')), ('S', ('over', 'or')))
(('S', ('the', 'talent')), ('S', ('allerton', 'and')))
(('S', ('allerton', 'and')), ('S', ('house', 'cause')))
(('S', ('to', 'of')), ('S', ('grow', 'iraq')))
(('S', ('the', 'minutes')), ('S', ('next', 'the')))
(('S', ('next', 'the')), ('S', ('even', 'one')))
(('S', ('even', 'one')), ('S', ('uh', 'that')))
(('S', ('uh', 'that')), ('S', ('ten', 'has')))
(('S', ('the', 'ballots')), ('S', ('allerton', 'and')))
(('S', ('allerton', 'and')), ('S', ('conference', 'confidence')))
split + quasi-homophone	(('S', ('wise', 'was')), ('S', ('also', 'all')))
(('S', ('also', 'all')), ('S', ('holds', 'souls')))
(('S', ('insuring', 'ensuring')), ('S', ('a', 'it')))
(('S', ('a', 'it')), ('S', ('transformative', 'has')))
(('S', ('held', 'helped')), ('S', ('eh', 'that')))
split + quasi-homophone	(('S', ('university', 'universe')), ('S', ('of', 'the')))
(('S', ('eh', 'conducted')), ('S', ('prior', 'at')))
(('S', ('prior', 'at')), ('S', ('to', 'private')))
(('S', ('eh', 'and')), ('S', ('her', 'for')))
(('S', ('her', 'for')), ('S', ('research', 'reasons')))
(('S', ('research', 'reasons')), ('S', ('career', 'area')))
(('S', ('womens', "women's")), ('S', ('health', 'al')))
split + homophone	(('S', ('fellow', 'fall')), ('S', ('of', 'off')))
split + quasi-homophone	(('S', ('of', 'off')), ('S', ('aaas', 'to')))
(('S', ('institute', 'is')), ('S', ('of', 'to')))
(('S', ('of', 'to')), ('S', ('medicine', 'fitness')))
